status;source_list;compare_list;product_number;Artikelnummern::Zelllinie;Datenbank_Import_05052026::Designation
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300694;Adult Human Melanocytes;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302200;ASB4;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300313;ASMC;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;610327;B15;x
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;610329;B15 EGFP;x
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302216;B95/8;duplicate
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302217;BGM;Oliver
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300914;B-LCL-HROM14;duplicate
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300709;B-LCL-HROP101;x
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302218;BS-C-1;Oliver
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;305971;CHO suspension adapted;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;603486;CHO-K1 suspension adapted;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302219;COS-1;Oliver
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302220;COS-7;Oliver
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;305358;CTX;x
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302221;CV-1;Oliver
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;305535;EJ;x
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300104;EPLC-32M1 - HeLa kontaminiert;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302222;FRhK-4;Oliver
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302204;GE Colon;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302213;GFP15;none
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;305896;Hap1;none
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;305591;HCC1830;x
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302171;HCK CA;x
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;400992;HEA-125;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300687;HEK293 suspension-adapted - GMP grade;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;831106;HEPES Buffer Solution (1M);
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;305791;HFOB 1.19;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;305970;HPB-ALL;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300711;HROC100 T2 M1;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300716;HROC110 T1 M7 #2;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300764;HROC197 T2 M1;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;305580;Hs815.;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300214;HSB;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;304065;HUAEC;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300697;Human Subcutaneous Pre-Adipocytes;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300458;hURO;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;305327;Immortalized Human Rheumatic Joint Synovial Fibroblast Cells;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300624;iPSC-hASC;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300263;JOK-1;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;610328;KCB;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;810110;"KMG-1 / Conditioned growth medium, ready-to-use;";
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;810210;KMG-2 / Conditioned growth medium, ready-to-use;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;810310;KMG-3 / Conditioned growth medium, ready-to-use;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;810410;KMG-4 / Conditioned growth medium, ready-to-use;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;810510;KMG-5 / Conditioned growth medium, ready-to-use;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;810610;KMG-6 / Conditioned growth medium, ready-to-use;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302208;Kolon gesund;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;400991;L1-OV198.5;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302223;LLC-MK2;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302750;M;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302224;MA-104;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302225;MARC-145;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;602282;MDCK-H-SIAT;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;305244;MEF (NIF) (#240 auf vial);
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;304293;Monozyten, human, aus Buffy coat isoliert;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302201;NH (NH Acalis);
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;302214;PauCa #13;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;301901;PBMC;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;305152;PC-12 (undifferentiated)  Suspension;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;300314;PDEC;
missing_in_Datenbank_Import_05052026;Artikelnummern.csv;Datenbank_Import_05052026.csv;607427;Porc1;
