product_number;status;source_list;compare_list;Authentifizierung_und_Virentestung_Intern::Product;Authentifizierung_und_Virentestung_Intern::Freeze date;Datenbank_Import_05052026::Designation
300694;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;Human Melanocytes, Adult;20.07.2018;
300697;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;Human Subcutaneous Pre-Adipocytes;17.01.2018;
300706;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC16;;
300707;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC158;;
300708;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;B-LCL-HROC110;;
300709;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROP101;;
300730;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC54;;
300760;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROLu22;;
300762;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC403;;
300763;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC400;;
300764;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC252;;
300790;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC425;;
300791;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC405;;
300792;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC449;;
300794;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC501;;
300795;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC245;;
300797;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC152;;
300798;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC211;;
300833;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC531Met1;;
300841;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC372;;
300842;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC288;;
300843;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC29;;
300844;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC119;;
300847;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC112;;
300900;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC188;;
300914;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROM14;;
300962;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC66;;
300963;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC26;;
300964;missing_in_Datenbank_Import_05052026;Authentifizierung und Virentestung Intern.csv;Datenbank_Import_05052026.csv;HROC21;;
